ENTIDAD,NOMBRE ENTIDAD,DISTRITO,DISTRITO LOCAL,MUNICIPIO,SECCION,Contest_id
9,CIUDAD DE MEXICO,2,2,5,1293,102
9,CIUDAD DE MEXICO,2,2,5,1295,102
9,CIUDAD DE MEXICO,2,2,5,1297,102
9,CIUDAD DE MEXICO,2,2,5,1298,102
9,CIUDAD DE MEXICO,2,2,5,1299,102
9,CIUDAD DE MEXICO,2,2,5,1300,102
9,CIUDAD DE MEXICO,2,2,5,1301,102
9,CIUDAD DE MEXICO,2,2,5,1303,102
9,CIUDAD DE MEXICO,2,2,5,1304,102
9,CIUDAD DE MEXICO,2,2,5,1314,102
9,CIUDAD DE MEXICO,2,2,5,1315,102
9,CIUDAD DE MEXICO,2,2,5,1316,102
9,CIUDAD DE MEXICO,2,2,5,1323,102
9,CIUDAD DE MEXICO,2,2,5,1324,102
9,CIUDAD DE MEXICO,2,2,5,1325,102
9,CIUDAD DE MEXICO,2,2,5,1326,102
9,CIUDAD DE MEXICO,2,2,5,1451,102
9,CIUDAD DE MEXICO,2,2,5,1452,102
9,CIUDAD DE MEXICO,2,2,5,1453,102
9,CIUDAD DE MEXICO,2,2,5,1454,102
9,CIUDAD DE MEXICO,2,2,5,1455,102
9,CIUDAD DE MEXICO,2,2,5,1456,102
9,CIUDAD DE MEXICO,2,2,5,1457,102
9,CIUDAD DE MEXICO,2,2,5,1458,102
9,CIUDAD DE MEXICO,2,2,5,1459,102
9,CIUDAD DE MEXICO,2,2,5,1460,102
9,CIUDAD DE MEXICO,2,2,5,1461,102
9,CIUDAD DE MEXICO,2,2,5,1462,102
9,CIUDAD DE MEXICO,2,2,5,1463,102
9,CIUDAD DE MEXICO,2,2,5,1464,102
9,CIUDAD DE MEXICO,2,2,5,1465,102
9,CIUDAD DE MEXICO,2,2,5,1466,102
9,CIUDAD DE MEXICO,2,2,5,1467,102
9,CIUDAD DE MEXICO,2,2,5,1468,102
9,CIUDAD DE MEXICO,2,2,5,1469,102
9,CIUDAD DE MEXICO,2,2,5,1470,102
9,CIUDAD DE MEXICO,2,2,5,1471,102
9,CIUDAD DE MEXICO,2,2,5,1472,102
9,CIUDAD DE MEXICO,2,2,5,1473,102
9,CIUDAD DE MEXICO,2,2,5,1474,102
9,CIUDAD DE MEXICO,2,2,5,1475,102
9,CIUDAD DE MEXICO,2,2,5,1476,102
9,CIUDAD DE MEXICO,2,2,5,1477,102
9,CIUDAD DE MEXICO,2,2,5,1478,102
9,CIUDAD DE MEXICO,2,2,5,1479,102
9,CIUDAD DE MEXICO,2,2,5,1480,102
9,CIUDAD DE MEXICO,2,2,5,1481,102
9,CIUDAD DE MEXICO,2,2,5,1482,102
9,CIUDAD DE MEXICO,2,2,5,1483,102
9,CIUDAD DE MEXICO,2,2,5,1484,102
9,CIUDAD DE MEXICO,2,2,5,1485,102
9,CIUDAD DE MEXICO,2,2,5,1486,102
9,CIUDAD DE MEXICO,2,2,5,1487,102
9,CIUDAD DE MEXICO,2,2,5,1488,102
9,CIUDAD DE MEXICO,2,2,5,1489,102
9,CIUDAD DE MEXICO,2,2,5,1490,102
9,CIUDAD DE MEXICO,2,2,5,1491,102
9,CIUDAD DE MEXICO,2,2,5,1492,102
9,CIUDAD DE MEXICO,2,2,5,1493,102
9,CIUDAD DE MEXICO,2,2,5,1494,102
9,CIUDAD DE MEXICO,2,2,5,1495,102
9,CIUDAD DE MEXICO,2,2,5,1559,102
9,CIUDAD DE MEXICO,2,2,5,1560,102
9,CIUDAD DE MEXICO,2,2,5,1561,102
9,CIUDAD DE MEXICO,2,2,5,1562,102
9,CIUDAD DE MEXICO,2,2,5,1563,102
9,CIUDAD DE MEXICO,2,2,5,1564,102
9,CIUDAD DE MEXICO,2,4,5,1045,102
9,CIUDAD DE MEXICO,2,4,5,1214,102
9,CIUDAD DE MEXICO,2,4,5,1215,102
9,CIUDAD DE MEXICO,2,4,5,1216,102
9,CIUDAD DE MEXICO,2,4,5,1217,102
9,CIUDAD DE MEXICO,2,4,5,1218,102
9,CIUDAD DE MEXICO,2,4,5,1219,102
9,CIUDAD DE MEXICO,2,4,5,1220,102
9,CIUDAD DE MEXICO,2,4,5,1221,102
9,CIUDAD DE MEXICO,2,4,5,1222,102
9,CIUDAD DE MEXICO,2,4,5,1223,102
9,CIUDAD DE MEXICO,2,4,5,1224,102
9,CIUDAD DE MEXICO,2,4,5,1225,102
9,CIUDAD DE MEXICO,2,4,5,1226,102
9,CIUDAD DE MEXICO,2,4,5,1227,102
9,CIUDAD DE MEXICO,2,4,5,1228,102
9,CIUDAD DE MEXICO,2,4,5,1229,102
9,CIUDAD DE MEXICO,2,4,5,1230,102
9,CIUDAD DE MEXICO,2,4,5,1231,102
9,CIUDAD DE MEXICO,2,4,5,1232,102
9,CIUDAD DE MEXICO,2,4,5,1233,102
9,CIUDAD DE MEXICO,2,4,5,1234,102
9,CIUDAD DE MEXICO,2,4,5,1235,102
9,CIUDAD DE MEXICO,2,4,5,1236,102
9,CIUDAD DE MEXICO,2,4,5,1237,102
9,CIUDAD DE MEXICO,2,4,5,1238,102
9,CIUDAD DE MEXICO,2,4,5,1239,102
9,CIUDAD DE MEXICO,2,4,5,1240,102
9,CIUDAD DE MEXICO,2,4,5,1241,102
9,CIUDAD DE MEXICO,2,4,5,1242,102
9,CIUDAD DE MEXICO,2,4,5,1243,102
9,CIUDAD DE MEXICO,2,4,5,1244,102
9,CIUDAD DE MEXICO,2,4,5,1245,102
9,CIUDAD DE MEXICO,2,4,5,1246,102
9,CIUDAD DE MEXICO,2,4,5,1247,102
9,CIUDAD DE MEXICO,2,4,5,1248,102
9,CIUDAD DE MEXICO,2,4,5,1249,102
9,CIUDAD DE MEXICO,2,4,5,1250,102
9,CIUDAD DE MEXICO,2,4,5,1251,102
9,CIUDAD DE MEXICO,2,4,5,1252,102
9,CIUDAD DE MEXICO,2,4,5,1253,102
9,CIUDAD DE MEXICO,2,4,5,1262,102
9,CIUDAD DE MEXICO,2,4,5,1264,102
9,CIUDAD DE MEXICO,2,4,5,1265,102
9,CIUDAD DE MEXICO,2,4,5,1266,102
9,CIUDAD DE MEXICO,2,4,5,1267,102
9,CIUDAD DE MEXICO,2,4,5,1268,102
9,CIUDAD DE MEXICO,2,4,5,1269,102
9,CIUDAD DE MEXICO,2,4,5,1270,102
9,CIUDAD DE MEXICO,2,4,5,1271,102
9,CIUDAD DE MEXICO,2,4,5,1272,102
